cluster	Fisher_q	Kolmogorov.Smirnov_q
19	0.999976616377557	1
34	0.983452162115099	4.15631231569513e-05
20	0.743124036301244	0.120296900496875
39	0.00306727248000011	6.92056712159328e-07
17	0.0433551351251079	0.000618643989741208
37	0.00306727248000011	6.92056712159328e-07
94	0.851394739504116	0.0350294716878956
43	0.662535498670261	0.0259463983868867
98	0.728286547655991	0.000959143441285004
38	0.662535498670261	0.0678953672086683
70	0.523617709788906	0.000483294209732921
35	0.997710291520709	0.894473991442157
83	0.8045694495448	0.0298102739561207
99	0.239971253526937	0.000229074004512109
30	0.951972225296699	0.822882956185264
78	0.743124036301244	0.0211405785761015
3	0.990672683648799	0.750371983584656
12	0.950579072734339	0.349674304947239
65	0.239971253526937	0.000241626004732876
8	0.990990347439311	0.480125326037089
32	0.983704024716227	0.94952405946513
4	0.717566707105758	6.12395412158406e-09
9	0.8045694495448	0.68474919539875
40	0.0115700701759814	5.75206549058294e-13
7	0.743124036301244	0.045187331972124
16	0.340181348146332	0.000921897691595341
96	0.000924474870343129	3.50602324949989e-10
33	0.851394739504116	0.0675938002887797
13	0.662535498670261	0.502161094929682
29	0.851394739504116	0.0847939105932519
10	0.0896561115978438	0.157141851492469
1	0.914210852955799	0.447235370161642
22	0.8045694495448	0.317899652490454
2	0.851394739504116	0.968865311416917
63	0.743124036301244	0.0213822397142494
23	0.777769472759047	0.0849172531843274
5	0.743124036301244	0.533773308228066
81	6.19298239578024e-05	8.62754312436209e-13
93	0.0625039646813973	1.23252530404017e-09
79	0.435896970083463	0.000586704739641064
95	0.216595120819855	5.47138616513454e-06
31	0.858078077051897	0.010510171503436
6	0.743124036301244	0.105470563823958
90	0.0305621189236156	7.74063780850653e-08
56	0.28925713354253	2.65468277040881e-05
89	0.743124036301244	0.0211405785761015
88	0.523617709788906	0.000444621276216139
11	0.97159056210885	0.904772871782116
21	0.662535498670261	0.0757918612579714
47	0.0124878174766173	2.98138634113876e-07
91	0.0896561115978438	3.47779866038955e-06
60	0.743124036301244	0.0211405785761015
52	0.28925713354253	2.50733209046228e-05
72	0.0289567944581261	0
36	0.662535498670261	0.0282171003997338
104	0.939591541752291	0.00688353956279142
